SocioEcon,GoodStudent,Age,RiskAversion,VehicleYear,Accident,ThisCarDam,RuggedAuto,MakeModel,Antilock,Mileage,DrivQuality,DrivingSkill,SeniorTrain,ThisCarCost,CarValue,Theft,AntiTheft,HomeBase,OtherCarCost,PropCost,OtherCar,MedCost,Cushioning,Airbag,ILiCost,DrivHist
UpperMiddle,False,Adult,Adventurous,Older,None,None,Football,Luxury,False,Domino,Normal,Normal,False,Thousand,FiveThou,False,False,Secure,Thousand,Thousand,True,Thousand,Good,True,Thousand,One
Prole,False,Senior,Cautious,Current,None,None,Football,Economy,False,TwentyThou,Normal,Normal,True,Thousand,TenThou,False,True,Rural,Thousand,Thousand,True,Thousand,Good,True,Thousand,Zero
UpperMiddle,False,Senior,Cautious,Current,None,None,EggShell,Luxury,True,TwentyThou,Excellent,Normal,True,Thousand,FiftyThou,False,True,Secure,Thousand,Thousand,True,Thousand,Fair,True,Thousand,Zero
UpperMiddle,False,Adult,Normal,Current,None,None,Football,FamilySedan,False,TwentyThou,Excellent,Expert,False,Thousand,TwentyThou,False,True,Secure,Thousand,Thousand,True,Thousand,Excellent,True,Thousand,Zero
Prole,False,Adolescent,Normal,Older,Severe,Moderate,Tank,FamilySedan,False,Domino,Poor,SubStandard,False,Thousand,FiveThou,False,False,City,TenThou,TenThou,False,Thousand,Good,False,Thousand,Many
Prole,False,Adolescent,Adventurous,Older,Mild,Moderate,Football,FamilySedan,False,TwentyThou,Poor,SubStandard,False,HundredThou,TwentyThou,False,False,Suburb,Thousand,HundredThou,True,Thousand,Good,False,Thousand,Many
Middle,False,Adult,Normal,Older,None,None,Tank,FamilySedan,False,FiftyThou,Normal,Normal,False,Thousand,TwentyThou,False,True,Suburb,Thousand,Thousand,False,Thousand,Excellent,True,Thousand,Zero
Middle,False,Adult,Normal,Older,Severe,Severe,Football,FamilySedan,False,Domino,Poor,SubStandard,False,TenThou,FiveThou,False,False,Rural,TenThou,HundredThou,True,Thousand,Good,True,Thousand,Many
Prole,False,Adult,Normal,Older,None,None,EggShell,Economy,False,TwentyThou,Poor,SubStandard,False,Thousand,FiveThou,False,False,City,Thousand,TenThou,True,Thousand,Poor,False,Thousand,Many
Middle,False,Adolescent,Adventurous,Older,Moderate,Moderate,Football,FamilySedan,False,TwentyThou,Poor,SubStandard,False,TenThou,FiveThou,False,False,Suburb,Thousand,TenThou,False,Thousand,Good,True,Thousand,Many
UpperMiddle,False,Adult,Normal,Current,None,None,Football,FamilySedan,False,TwentyThou,Excellent,Expert,False,Thousand,TwentyThou,False,True,Rural,Thousand,Thousand,True,Thousand,Fair,True,Thousand,Zero
Prole,False,Adult,Cautious,Older,None,None,EggShell,Economy,False,FiftyThou,Normal,Normal,False,Thousand,FiveThou,False,False,Rural,Thousand,TenThou,False,Thousand,Poor,False,Thousand,Zero
Prole,False,Adult,Adventurous,Older,None,None,Football,FamilySedan,False,TwentyThou,Poor,SubStandard,False,Thousand,TwentyThou,False,False,City,Thousand,Thousand,True,Thousand,Good,False,Thousand,Many
Middle,False,Adult,Normal,Older,None,None,Tank,FamilySedan,False,TwentyThou,Normal,Normal,False,Thousand,TenThou,False,True,Suburb,Thousand,Thousand,False,Thousand,Excellent,True,Thousand,Zero
UpperMiddle,False,Adult,Cautious,Older,Moderate,Moderate,EggShell,Luxury,False,FiftyThou,Poor,SubStandard,False,HundredThou,TwentyThou,False,True,Secure,Thousand,HundredThou,True,Thousand,Poor,False,Thousand,Zero
Prole,False,Adolescent,Adventurous,Older,Moderate,Moderate,EggShell,Economy,False,Domino,Poor,SubStandard,False,Thousand,FiveThou,False,False,City,Thousand,Thousand,False,Million,Poor,True,Thousand,Many
Prole,False,Adolescent,Adventurous,Older,Moderate,Moderate,EggShell,SportsCar,False,Domino,Poor,SubStandard,False,Thousand,FiveThou,False,False,City,Thousand,TenThou,True,Thousand,Fair,False,Thousand,Many
Prole,False,Adult,Normal,Older,None,None,EggShell,Economy,False,TwentyThou,Excellent,Expert,False,Thousand,FiveThou,False,False,City,Thousand,Thousand,True,Thousand,Poor,False,Thousand,Zero
Prole,False,Adult,Adventurous,Older,None,None,EggShell,Economy,False,FiveThou,Normal,Normal,False,Thousand,FiveThou,False,False,City,Thousand,Thousand,True,Thousand,Poor,False,Thousand,One
UpperMiddle,False,Adult,Normal,Current,Mild,Mild,Tank,FamilySedan,True,TwentyThou,Poor,SubStandard,False,Thousand,TwentyThou,False,True,Suburb,Thousand,Thousand,True,Thousand,Excellent,True,Thousand,Many
UpperMiddle,False,Senior,Cautious,Current,None,None,Football,Luxury,True,FiftyThou,Normal,Normal,True,Thousand,FiftyThou,False,True,Secure,Thousand,Thousand,True,Thousand,Good,True,Thousand,Zero
Prole,False,Adult,Normal,Older,None,None,EggShell,Economy,False,Domino,Normal,Normal,False,Thousand,FiveThou,False,False,City,Thousand,TenThou,True,Thousand,Fair,False,Thousand,Many
Middle,False,Adult,Cautious,Older,None,None,EggShell,Economy,False,TwentyThou,Normal,Normal,False,Thousand,TenThou,False,True,Suburb,Thousand,Thousand,True,Thousand,Fair,False,Thousand,Zero
Prole,False,Adult,Psychopath,Older,None,None,EggShell,Economy,False,Domino,Normal,Normal,False,Thousand,FiveThou,False,False,Rural,Thousand,TenThou,True,Thousand,Fair,False,Thousand,Many
UpperMiddle,False,Adult,Cautious,Current,None,None,Football,Luxury,True,TwentyThou,Normal,Normal,False,Thousand,FiftyThou,False,True,Secure,Thousand,Thousand,True,Thousand,Good,True,Thousand,Zero
UpperMiddle,False,Adult,Normal,Older,None,None,EggShell,SportsCar,False,FiftyThou,Poor,SubStandard,False,Thousand,TenThou,False,True,Secure,Thousand,TenThou,True,Thousand,Poor,False,Thousand,Many
Prole,False,Adolescent,Normal,Current,Mild,Mild,Football,FamilySedan,True,TwentyThou,Poor,SubStandard,False,Thousand,TwentyThou,False,False,City,Thousand,Thousand,True,Thousand,Good,True,Thousand,Many
Middle,False,Adult,Normal,Older,None,None,Football,FamilySedan,False,TwentyThou,Normal,Normal,False,Thousand,TwentyThou,False,False,Suburb,Thousand,Thousand,True,Thousand,Fair,False,Thousand,Zero
Prole,False,Adolescent,Normal,Older,None,None,Football,Economy,False,TwentyThou,Normal,Normal,False,Thousand,TenThou,False,False,City,Thousand,Thousand,False,Thousand,Fair,False,Thousand,Zero
Prole,False,Adult,Adventurous,Older,Severe,Severe,EggShell,Economy,False,FiftyThou,Poor,SubStandard,False,TenThou,FiveThou,False,False,City,Thousand,TenThou,True,TenThou,Poor,False,Thousand,Many
Prole,False,Senior,Normal,Older,None,None,EggShell,SportsCar,True,FiftyThou,Excellent,Expert,True,Thousand,FiveThou,False,False,Rural,Thousand,Thousand,True,Thousand,Poor,True,Thousand,Zero
Prole,False,Adult,Normal,Current,None,None,Football,Economy,False,TwentyThou,Normal,Normal,False,Thousand,FiveThou,False,True,City,Thousand,Thousand,True,Thousand,Good,True,Thousand,Zero
UpperMiddle,False,Adult,Cautious,Current,None,None,EggShell,SportsCar,True,TwentyThou,Excellent,Normal,False,Thousand,TwentyThou,False,True,Secure,Thousand,Thousand,True,Thousand,Fair,True,Thousand,Zero
Prole,False,Adolescent,Adventurous,Older,None,None,Football,Economy,False,TwentyThou,Normal,Normal,False,Thousand,FiveThou,False,False,City,Thousand,TenThou,True,Thousand,Fair,False,Thousand,Zero
UpperMiddle,False,Senior,Cautious,Current,None,None,Football,Luxury,True,TwentyThou,Poor,SubStandard,True,Thousand,FiftyThou,False,True,Secure,Thousand,Thousand,True,Thousand,Good,True,Thousand,Zero
Middle,False,Adult,Normal,Current,None,None,Football,FamilySedan,False,Domino,Normal,Normal,False,Thousand,TwentyThou,False,True,Secure,Thousand,Thousand,True,Thousand,Excellent,True,Thousand,Zero
Middle,False,Adult,Cautious,Older,Severe,Severe,Football,FamilySedan,False,TwentyThou,Poor,SubStandard,False,HundredThou,TwentyThou,False,True,Secure,TenThou,HundredThou,True,TenThou,Good,False,Thousand,Many
Prole,False,Senior,Cautious,Older,None,None,EggShell,Economy,False,FiftyThou,Excellent,Expert,True,Thousand,FiveThou,False,True,City,Thousand,Thousand,False,Thousand,Poor,False,Thousand,Zero
UpperMiddle,False,Senior,Cautious,Current,None,None,Football,Luxury,True,TwentyThou,Excellent,Expert,True,Thousand,FiftyThou,False,True,Secure,Thousand,Thousand,True,Thousand,Good,True,Thousand,Zero
Prole,False,Adult,Normal,Older,Mild,Moderate,EggShell,Economy,False,TwentyThou,Poor,SubStandard,False,TenThou,FiveThou,False,False,City,Thousand,TenThou,False,Thousand,Poor,False,Thousand,One
UpperMiddle,False,Adult,Adventurous,Current,Mild,None,Tank,FamilySedan,False,TwentyThou,Poor,SubStandard,False,Thousand,TwentyThou,False,False,City,Thousand,Thousand,True,Thousand,Excellent,True,Thousand,Many
Middle,False,Adult,Normal,Older,None,None,Football,FamilySedan,False,TwentyThou,Normal,Normal,False,Thousand,TenThou,False,False,Suburb,Thousand,Thousand,True,Thousand,Fair,False,Thousand,Zero
Prole,False,Adult,Normal,Older,None,None,Football,FamilySedan,False,FiftyThou,Normal,Normal,False,Thousand,FiveThou,False,False,Rural,Thousand,Thousand,True,Thousand,Good,False,Thousand,Zero
Prole,False,Adult,Normal,Older,None,None,Tank,FamilySedan,False,TwentyThou,Normal,Normal,False,Thousand,FiveThou,False,False,City,Thousand,Thousand,True,Thousand,Good,False,Thousand,Zero
Prole,False,Senior,Normal,Current,None,None,Football,Economy,False,FiftyThou,Normal,Normal,True,Thousand,TenThou,False,False,City,Thousand,Thousand,False,Thousand,Good,True,Thousand,Zero
Prole,False,Adolescent,Adventurous,Older,Moderate,Moderate,Tank,FamilySedan,False,FiftyThou,Poor,SubStandard,False,TenThou,FiveThou,False,False,Rural,Thousand,TenThou,True,Thousand,Excellent,False,Thousand,Many
Middle,False,Adult,Normal,Older,None,None,Tank,FamilySedan,False,TwentyThou,Normal,Normal,False,Thousand,FiveThou,False,False,Suburb,Thousand,Thousand,True,Thousand,Excellent,False,Thousand,Zero
Middle,False,Adult,Cautious,Older,Mild,Mild,Football,FamilySedan,False,FiftyThou,Poor,SubStandard,False,Thousand,TwentyThou,False,True,Secure,Thousand,Thousand,False,Thousand,Fair,False,Thousand,Zero
Prole,False,Adolescent,Normal,Older,Severe,Severe,EggShell,Economy,False,FiftyThou,Poor,SubStandard,False,TenThou,FiveThou,False,False,City,HundredThou,HundredThou,False,HundredThou,Poor,False,Thousand,Many
Prole,False,Senior,Normal,Older,None,None,Football,Economy,False,Domino,Excellent,Expert,False,Thousand,FiveThou,False,False,City,Thousand,Thousand,True,Thousand,Good,False,Thousand,Zero
Middle,False,Adult,Normal,Older,None,None,EggShell,SportsCar,False,FiftyThou,Normal,Normal,False,Thousand,FiveThou,False,True,Secure,Thousand,Thousand,False,Thousand,Poor,False,Thousand,Zero
Middle,False,Adult,Normal,Current,None,None,Tank,FamilySedan,True,TwentyThou,Excellent,Expert,False,Thousand,TwentyThou,False,False,Suburb,Thousand,TenThou,True,Thousand,Excellent,True,Thousand,Zero
UpperMiddle,False,Adolescent,Normal,Older,None,None,Tank,Luxury,False,TwentyThou,Poor,SubStandard,False,Thousand,FiftyThou,False,True,Suburb,Thousand,TenThou,True,Thousand,Good,False,Thousand,Many
Prole,False,Senior,Cautious,Current,None,None,Football,FamilySedan,True,TwentyThou,Excellent,Expert,True,Thousand,TwentyThou,False,True,City,Thousand,TenThou,True,Thousand,Good,True,Thousand,Zero
UpperMiddle,False,Adult,Adventurous,Current,Severe,Severe,Football,FamilySedan,False,FiftyThou,Poor,SubStandard,False,HundredThou,TwentyThou,False,True,Secure,HundredThou,HundredThou,True,TenThou,Good,True,Thousand,Many
Middle,False,Adult,Normal,Older,Severe,Severe,Football,FamilySedan,False,FiftyThou,Poor,SubStandard,False,HundredThou,TwentyThou,False,False,Suburb,HundredThou,Million,True,Thousand,Fair,False,Thousand,Many
Prole,False,Adult,Normal,Older,None,None,EggShell,Economy,False,FiftyThou,Normal,Normal,False,Thousand,FiveThou,False,False,City,Thousand,Thousand,True,Thousand,Poor,False,Thousand,Zero
Middle,False,Senior,Cautious,Older,None,None,Football,FamilySedan,False,FiftyThou,Normal,Normal,True,Thousand,FiveThou,False,True,Secure,Thousand,Thousand,True,Thousand,Excellent,True,Thousand,Zero
Middle,False,Adult,Normal,Current,None,None,Football,FamilySedan,True,TwentyThou,Excellent,Expert,False,Thousand,TwentyThou,False,True,Secure,Thousand,Thousand,True,Thousand,Excellent,True,Thousand,Zero
Prole,False,Adult,Normal,Older,None,None,EggShell,Economy,False,TwentyThou,Normal,Normal,False,Thousand,TenThou,False,False,Rural,Thousand,TenThou,False,Thousand,Poor,False,Thousand,Zero
Middle,False,Adult,Cautious,Current,None,None,Football,FamilySedan,True,FiftyThou,Excellent,Normal,False,Thousand,TwentyThou,False,True,Secure,Thousand,Thousand,False,Thousand,Good,True,Thousand,Zero
UpperMiddle,False,Adolescent,Adventurous,Current,Severe,Moderate,Tank,Luxury,True,TwentyThou,Poor,SubStandard,False,HundredThou,FiftyThou,False,False,Rural,TenThou,HundredThou,True,Thousand,Excellent,True,Thousand,Many
UpperMiddle,False,Adult,Adventurous,Current,None,None,Football,FamilySedan,False,FiftyThou,Normal,Normal,False,Thousand,TwentyThou,False,True,Secure,Thousand,TenThou,False,Thousand,Good,True,Thousand,Many
Prole,False,Adult,Adventurous,Older,None,None,EggShell,Economy,False,FiftyThou,Poor,Normal,False,Thousand,FiveThou,False,False,City,Thousand,Thousand,True,Thousand,Poor,False,Thousand,One
Prole,False,Adolescent,Normal,Older,None,None,EggShell,Economy,False,TwentyThou,Poor,SubStandard,False,Thousand,FiveThou,False,False,Rural,Thousand,Thousand,True,Thousand,Poor,False,Thousand,Many
Middle,False,Adult,Normal,Older,None,None,EggShell,SportsCar,False,FiftyThou,Normal,Normal,False,Thousand,FiveThou,False,False,Rural,Thousand,Thousand,True,Thousand,Poor,False,Thousand,One
UpperMiddle,False,Adult,Adventurous,Older,None,None,Tank,FamilySedan,False,FiftyThou,Excellent,Normal,False,Thousand,FiveThou,False,False,Rural,Thousand,Thousand,False,Thousand,Good,False,Thousand,One
UpperMiddle,False,Senior,Normal,Current,None,None,EggShell,SportsCar,True,FiveThou,Normal,Normal,True,Thousand,TwentyThou,False,True,Suburb,Thousand,TenThou,True,Thousand,Poor,True,Thousand,Zero
Middle,False,Senior,Cautious,Older,None,None,Football,FamilySedan,False,FiveThou,Excellent,Expert,True,Thousand,FiveThou,False,True,Secure,Thousand,TenThou,False,Thousand,Fair,False,Thousand,Zero
Prole,False,Adult,Normal,Older,Severe,Severe,EggShell,Economy,False,FiftyThou,Poor,SubStandard,False,TenThou,FiveThou,False,False,City,HundredThou,HundredThou,True,Thousand,Poor,False,Thousand,Many
Middle,False,Senior,Cautious,Older,None,None,Tank,FamilySedan,False,Domino,Normal,Normal,True,Thousand,FiveThou,False,True,Secure,Thousand,Thousand,True,Thousand,Excellent,False,Thousand,Zero
Prole,False,Adult,Normal,Older,None,None,EggShell,SportsCar,False,TwentyThou,Normal,Normal,False,Thousand,FiveThou,False,False,City,Thousand,TenThou,False,Thousand,Poor,True,Thousand,Zero
Prole,False,Adolescent,Adventurous,Older,None,None,Tank,FamilySedan,False,FiftyThou,Excellent,Expert,False,Thousand,TenThou,False,False,City,Thousand,Thousand,False,Thousand,Good,False,Thousand,Zero
Middle,False,Adult,Normal,Current,None,None,Football,FamilySedan,False,Domino,Normal,Normal,False,Thousand,TenThou,False,False,Suburb,Thousand,Thousand,True,Thousand,Excellent,True,Thousand,Zero
UpperMiddle,False,Adult,Normal,Current,None,None,Tank,Luxury,True,FiftyThou,Normal,Normal,False,Thousand,FiftyThou,False,True,Suburb,Thousand,Thousand,True,Thousand,Excellent,True,Thousand,Zero
