,SocioEcon,GoodStudent,Age,RiskAversion,VehicleYear,Accident,ThisCarDam,RuggedAuto,MakeModel,Antilock,Mileage,DrivQuality,DrivingSkill,SeniorTrain,ThisCarCost,CarValue,Theft,AntiTheft,HomeBase,OtherCarCost,PropCost,OtherCar,MedCost,Cushioning,Airbag,ILiCost,DrivHist
58,2,1,2,3,0,0,0,0,3,0,1,2,1,0,0,3,1,0,0,0,0,0,0,1,0,0,0
59,2,1,1,2,0,0,0,1,2,1,1,2,2,1,0,2,1,0,0,0,0,0,0,3,0,0,0
60,0,1,0,2,1,3,2,2,2,1,3,0,0,1,0,0,1,1,1,1,1,1,0,2,1,0,2
61,0,1,0,1,1,1,2,1,2,1,1,0,0,1,2,2,1,1,2,0,2,0,0,2,1,0,2
62,1,1,1,2,1,0,0,2,2,1,2,1,1,1,0,2,1,0,2,0,0,1,0,3,0,0,0
63,1,1,1,2,1,3,3,1,2,1,3,0,0,1,1,0,1,1,3,1,2,0,0,2,0,0,2
64,0,1,1,2,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,2
65,1,1,0,1,1,2,2,1,2,1,1,0,0,1,1,0,1,1,2,0,1,1,0,2,0,0,2
66,2,1,1,2,0,0,0,1,2,1,1,2,2,1,0,2,1,0,3,0,0,0,0,1,0,0,0
67,0,1,1,3,1,0,0,0,1,1,2,1,1,1,0,0,1,1,3,0,1,1,0,0,1,0,0
68,0,1,1,1,1,0,0,1,2,1,1,0,0,1,0,2,1,1,1,0,0,0,0,2,1,0,2
69,1,1,1,2,1,0,0,2,2,1,1,1,1,1,0,1,1,0,2,0,0,1,0,3,0,0,0
70,2,1,1,3,1,2,2,0,3,1,2,0,0,1,2,2,1,0,0,0,2,0,0,0,1,0,0
71,0,1,0,1,1,2,2,0,1,1,3,0,0,1,0,0,1,1,1,0,0,1,3,0,0,0,2
72,0,1,0,1,1,2,2,0,0,1,3,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,2
73,0,1,1,2,1,0,0,0,1,1,1,2,2,1,0,0,1,1,1,0,0,0,0,0,1,0,0
74,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1
75,2,1,1,2,0,1,1,2,2,0,1,0,0,1,0,2,1,0,2,0,0,0,0,3,0,0,2
76,2,1,2,3,0,0,0,1,3,0,2,1,1,0,0,3,1,0,0,0,0,0,0,2,0,0,0
77,0,1,1,2,1,0,0,0,1,1,3,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,2
78,1,1,1,3,1,0,0,0,1,1,1,1,1,1,0,1,1,0,2,0,0,0,0,1,1,0,0
79,0,1,1,0,1,0,0,0,1,1,3,1,1,1,0,0,1,1,3,0,1,0,0,1,1,0,2
80,2,1,1,3,0,0,0,1,3,0,1,1,1,1,0,3,1,0,0,0,0,0,0,2,0,0,0
81,2,1,1,2,1,0,0,0,0,1,2,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,2
82,0,1,0,2,0,1,1,1,2,0,1,0,0,1,0,2,1,1,1,0,0,0,0,2,0,0,2
83,1,1,1,2,1,0,0,1,2,1,1,1,1,1,0,2,1,1,2,0,0,0,0,1,1,0,0
84,0,1,0,2,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0
85,0,1,1,1,1,3,3,0,1,1,2,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,2
86,0,1,2,2,1,0,0,0,0,0,2,2,2,0,0,0,1,1,3,0,0,0,0,0,0,0,0
87,0,1,1,2,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,2,0,0,0
88,2,1,1,3,0,0,0,0,0,0,1,2,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0
89,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0
90,2,1,2,3,0,0,0,1,3,0,1,0,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0
91,1,1,1,2,0,0,0,1,2,1,3,1,1,1,0,2,1,0,0,0,0,0,0,3,0,0,0
92,1,1,1,3,1,3,3,1,2,1,1,0,0,1,2,2,1,0,0,1,2,0,1,2,1,0,2
93,0,1,2,3,1,0,0,0,1,1,2,2,2,0,0,0,1,0,1,0,0,1,0,0,1,0,0
94,2,1,2,3,0,0,0,1,3,0,1,2,2,0,0,3,1,0,0,0,0,0,0,2,0,0,0
95,0,1,1,2,1,1,2,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1
96,2,1,1,1,0,1,0,2,2,1,1,0,0,1,0,2,1,1,1,0,0,0,0,3,0,0,2
97,1,1,1,2,1,0,0,1,2,1,1,1,1,1,0,1,1,1,2,0,0,0,0,1,1,0,0
98,0,1,1,2,1,0,0,1,2,1,2,1,1,1,0,0,1,1,3,0,0,0,0,2,1,0,0
99,0,1,1,2,1,0,0,2,2,1,1,1,1,1,0,0,1,1,1,0,0,0,0,2,1,0,0
100,0,1,2,2,0,0,0,1,1,1,2,1,1,0,0,1,1,1,1,0,0,1,0,2,0,0,0
101,0,1,0,1,1,2,2,2,2,1,2,0,0,1,1,0,1,1,3,0,1,0,0,3,1,0,2
102,1,1,1,2,1,0,0,2,2,1,1,1,1,1,0,0,1,1,2,0,0,0,0,3,1,0,0
103,1,1,1,3,1,1,1,1,2,1,2,0,0,1,0,2,1,0,0,0,0,1,0,1,1,0,0
104,0,1,0,2,1,3,3,0,1,1,2,0,0,1,1,0,1,1,1,2,2,1,2,0,1,0,2
105,0,1,2,2,1,0,0,1,1,1,3,2,2,1,0,0,1,1,1,0,0,0,0,2,1,0,0
106,1,1,1,2,1,0,0,0,0,1,2,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0
107,1,1,1,2,0,0,0,2,2,0,1,2,2,1,0,2,1,1,2,0,1,0,0,3,0,0,0
108,2,1,0,2,1,0,0,2,3,1,1,0,0,1,0,3,1,0,2,0,1,0,0,2,1,0,2
109,0,1,2,3,0,0,0,1,2,0,1,2,2,0,0,2,1,0,1,0,1,0,0,2,0,0,0
110,2,1,1,1,0,3,3,1,2,1,2,0,0,1,2,2,1,0,0,2,2,0,1,2,0,0,2
111,1,1,1,2,1,3,3,1,2,1,2,0,0,1,2,2,1,1,2,2,3,0,0,1,1,0,2
112,0,1,1,2,1,0,0,0,1,1,2,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0
113,1,1,2,3,1,0,0,1,2,1,2,1,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0
114,1,1,1,2,0,0,0,1,2,0,1,2,2,1,0,2,1,0,0,0,0,0,0,3,0,0,0
115,0,1,1,2,1,0,0,0,1,1,1,1,1,1,0,1,1,1,3,0,1,1,0,0,1,0,0
116,1,1,1,3,0,0,0,1,2,0,2,2,1,1,0,2,1,0,0,0,0,1,0,2,0,0,0
117,2,1,0,1,0,3,2,2,3,0,1,0,0,1,2,3,1,1,3,1,2,0,0,3,0,0,2
118,2,1,1,1,0,0,0,1,2,1,2,1,1,1,0,2,1,0,0,0,1,1,0,2,0,0,2
119,0,1,1,1,1,0,0,0,1,1,2,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1
120,0,1,0,2,1,0,0,0,1,1,1,0,0,1,0,0,1,1,3,0,0,0,0,0,1,0,2
121,1,1,1,2,1,0,0,0,0,1,2,1,1,1,0,0,1,1,3,0,0,0,0,0,1,0,1
122,2,1,1,1,1,0,0,2,2,1,2,2,1,1,0,0,1,1,3,0,0,1,0,2,1,0,1
123,2,1,2,2,0,0,0,0,0,0,0,1,1,0,0,2,1,0,2,0,1,0,0,0,0,0,0
124,1,1,2,3,1,0,0,1,2,1,0,2,2,0,0,0,1,0,0,0,1,1,0,1,1,0,0
125,0,1,1,2,1,3,3,0,1,1,2,0,0,1,1,0,1,1,1,2,2,0,0,0,1,0,2
126,1,1,2,3,1,0,0,2,2,1,3,1,1,0,0,0,1,0,0,0,0,0,0,3,1,0,0
127,0,1,1,2,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0
128,0,1,0,1,1,0,0,2,2,1,2,2,2,1,0,1,1,1,1,0,0,1,0,2,1,0,0
129,1,1,1,2,0,0,0,1,2,1,3,1,1,1,0,1,1,1,2,0,0,0,0,3,0,0,0
130,2,1,1,2,0,0,0,2,3,0,2,1,1,1,0,3,1,0,2,0,0,0,0,3,0,0,0
131,1,1,2,2,1,0,0,0,1,1,2,1,1,1,0,0,1,1,2,0,0,0,0,0,1,0,0
132,1,0,0,0,0,0,0,1,2,1,1,0,0,1,0,1,1,1,0,0,0,0,0,3,0,0,2
133,1,1,1,3,0,1,1,1,1,1,2,0,0,1,0,1,1,0,0,0,1,0,0,2,0,0,2
134,3,1,1,2,0,0,0,1,4,0,0,0,0,1,0,4,1,1,0,0,0,0,0,2,0,0,2
135,2,1,1,3,1,0,0,1,3,0,2,1,1,1,0,2,1,0,0,0,0,0,0,2,1,0,0
136,1,1,1,2,1,3,3,0,1,1,2,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,2
137,1,1,1,2,1,2,1,2,2,1,2,0,0,1,0,0,1,1,3,0,0,0,0,3,1,0,2
138,1,1,1,2,0,0,0,0,1,1,3,1,1,1,0,1,1,1,2,0,0,0,0,0,0,0,0
139,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,2,1,1,3,0,0,1,0,0,1,0,0
140,1,1,0,2,1,0,0,1,1,1,2,1,1,1,0,0,1,1,2,0,0,0,0,1,1,0,0
141,0,1,1,3,1,1,1,0,1,1,3,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1
142,2,0,0,2,0,3,3,1,3,0,3,0,0,1,2,3,1,0,0,2,2,0,2,1,0,0,1
143,2,1,0,2,1,0,0,0,0,1,2,0,0,1,0,1,1,0,2,0,0,0,0,0,1,0,2
144,0,1,2,3,1,0,0,1,2,1,2,2,2,0,0,1,1,0,1,0,0,0,0,1,1,0,0
145,0,1,1,2,1,0,0,0,1,1,2,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,2
146,2,1,2,3,0,0,0,1,3,0,2,1,1,0,0,3,1,0,0,0,0,0,0,3,0,0,0
147,2,1,1,3,1,0,0,1,2,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0
148,0,1,0,2,1,0,0,0,1,1,2,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1
149,0,1,1,2,0,3,3,1,1,1,2,0,0,1,1,1,1,1,1,2,3,0,1,2,0,0,2
150,0,1,1,2,1,0,0,0,1,1,2,1,1,1,0,0,1,1,3,0,0,0,0,0,1,0,0
151,0,1,1,2,1,0,0,0,1,1,3,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0
152,0,1,0,2,1,0,0,0,0,0,2,1,1,1,0,2,1,1,1,0,1,0,0,1,1,0,0
153,1,1,1,1,0,0,0,1,1,1,1,2,1,1,0,1,1,1,3,0,1,0,0,2,0,0,1
154,2,1,0,2,1,0,0,1,3,0,3,0,0,1,0,1,1,0,2,0,0,0,0,2,1,0,2
155,1,1,1,2,1,0,0,0,0,1,1,1,1,1,0,1,1,1,2,0,0,0,0,0,1,0,0
156,1,1,0,1,1,0,0,1,2,1,0,1,1,1,0,2,1,1,2,0,0,0,0,2,1,0,0
157,0,1,2,3,1,0,0,1,2,1,2,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
158,0,1,2,2,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0
159,2,1,1,3,0,2,2,0,2,1,2,0,0,1,2,2,1,0,0,1,2,0,0,1,0,3,1
160,1,1,1,2,1,0,0,0,0,1,1,1,1,1,0,1,1,0,2,0,0,0,0,1,1,0,0
161,0,1,0,2,1,0,0,0,1,1,1,1,1,1,0,0,1,0,3,0,1,1,0,0,1,0,0
162,0,1,1,2,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0
163,0,1,1,3,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1
164,2,1,1,1,0,0,0,0,0,0,1,1,1,1,0,2,1,1,0,0,1,0,0,2,0,0,1
165,2,1,1,2,1,0,0,2,2,1,2,2,2,1,0,1,1,0,2,0,0,0,0,2,1,0,0
166,0,1,1,2,1,2,2,1,2,1,2,0,0,1,1,0,1,1,1,2,2,0,0,1,1,0,2
167,1,1,1,2,0,0,0,0,0,0,2,1,1,1,0,3,1,1,3,0,1,0,0,0,0,0,2
168,1,1,1,2,1,3,3,0,0,1,1,0,0,1,1,0,1,1,2,2,2,0,3,0,1,1,1
169,1,1,1,2,0,0,0,1,2,1,1,1,1,1,0,2,1,0,0,0,0,0,0,2,0,0,0
170,1,1,1,1,0,1,1,0,0,0,2,0,1,1,0,2,1,1,1,0,0,0,0,1,0,0,1
171,2,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1
172,0,1,2,2,1,0,0,0,1,1,2,1,1,1,0,0,1,1,2,0,1,1,0,0,1,0,2
173,0,1,1,2,1,3,3,1,0,1,2,0,0,1,1,1,1,1,3,1,1,1,0,1,1,0,2
174,1,1,1,2,0,0,0,0,0,0,1,2,2,1,0,2,1,1,2,0,0,0,0,0,0,0,0
175,2,1,1,0,1,3,3,1,3,1,2,0,1,1,2,2,1,1,0,1,2,0,0,3,0,0,2
176,1,1,0,1,1,0,0,1,2,1,3,1,1,1,0,0,1,1,3,0,0,1,0,2,1,0,0
177,0,1,1,2,1,0,0,0,1,1,0,0,0,1,0,2,1,1,1,0,1,1,0,0,1,0,2
178,2,1,1,3,0,2,2,0,2,1,2,0,0,1,2,2,1,0,0,1,2,0,1,0,0,0,1
179,0,1,1,1,1,0,0,0,1,1,1,2,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0
180,0,1,2,3,0,0,0,1,1,1,3,1,1,0,0,0,1,0,1,0,1,0,0,2,0,0,0
181,0,1,0,2,1,0,0,0,1,1,2,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,2
182,2,1,2,2,0,0,0,1,3,0,2,1,1,1,0,3,1,1,0,0,0,0,0,3,0,0,0
183,0,1,1,2,1,3,3,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,2,0,0,1,2
184,2,1,1,2,0,0,0,1,2,1,2,1,1,1,0,1,1,0,2,0,0,0,0,3,0,0,0
185,2,1,1,2,1,0,0,1,3,1,1,1,1,1,0,2,1,0,2,0,0,0,0,2,0,0,0
186,1,1,1,2,1,0,0,1,2,1,1,1,1,1,0,0,1,1,2,0,0,0,0,2,0,0,0
187,0,0,0,2,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,2
188,2,1,1,2,1,1,1,1,2,1,1,0,0,1,0,1,1,0,3,0,0,0,0,0,1,0,1
189,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,2
190,1,1,1,2,1,2,1,2,2,1,3,1,1,1,0,0,1,1,0,2,2,0,0,3,1,0,0
191,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,2,1,1,1,0,0,1,0,1,0,0,2
192,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,2
193,2,1,2,3,0,0,0,1,3,0,1,1,1,0,0,3,1,0,0,0,0,0,0,2,0,0,0
194,1,1,1,2,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0
195,0,1,2,3,1,0,0,0,1,1,1,2,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0
196,1,1,0,1,1,0,0,2,2,1,2,1,1,1,0,1,1,1,2,0,0,0,0,2,1,0,0
197,0,1,0,2,0,3,3,1,1,1,3,0,0,1,1,1,1,1,1,1,1,0,0,2,0,0,2
198,1,1,1,2,1,0,0,0,1,1,1,2,2,1,0,0,1,1,2,0,0,0,0,0,1,0,0
199,2,1,1,1,0,3,3,0,0,0,1,0,0,1,2,2,1,1,1,1,2,0,0,2,0,0,2
200,1,1,1,1,1,1,2,0,1,1,1,0,1,1,1,0,1,1,3,0,1,0,0,1,1,0,2
201,1,1,1,2,1,0,0,0,1,1,2,2,2,1,0,0,1,0,2,0,0,0,0,0,1,0,0
202,1,1,2,2,1,0,0,0,1,1,1,1,1,1,0,1,1,1,2,0,0,0,0,0,1,0,0
203,1,1,1,2,1,1,1,1,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,2
204,1,1,1,2,1,2,2,1,2,1,3,0,0,1,0,0,1,0,2,1,1,0,0,1,1,0,2
205,2,1,1,2,1,0,0,1,2,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0
206,0,1,1,2,1,0,0,1,2,1,1,1,1,1,0,2,1,1,1,0,0,0,0,0,1,0,0
207,1,1,1,3,1,0,0,0,2,1,1,1,1,1,0,2,1,0,0,0,0,0,0,0,1,0,0
208,0,1,2,3,1,0,0,0,0,1,1,2,2,0,0,0,1,0,1,0,0,1,0,0,1,0,0
209,1,1,0,2,0,0,0,0,2,1,1,0,0,1,0,2,1,1,2,0,0,0,0,0,0,0,2
210,1,1,1,1,0,0,0,0,0,1,2,2,2,1,0,2,1,1,2,0,0,0,0,1,0,0,0
211,2,1,1,3,1,0,0,1,3,1,1,1,1,1,0,2,1,0,0,0,0,0,0,1,1,0,0
212,1,1,0,2,0,3,3,0,1,1,2,0,0,1,1,1,1,1,2,1,1,0,0,1,0,0,2
213,0,1,2,2,1,0,0,0,1,1,3,2,2,1,0,0,1,1,1,0,1,0,0,0,1,0,0
214,1,1,1,1,1,1,1,1,2,1,1,0,1,1,0,0,1,1,2,0,0,0,0,2,0,0,1
215,0,1,0,1,1,3,3,0,1,1,2,0,0,1,1,0,1,1,1,2,2,1,0,0,1,0,2
216,0,1,1,2,0,0,0,0,1,1,2,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1
217,2,1,2,3,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
218,0,1,1,3,1,0,0,1,2,1,2,2,1,1,0,0,1,0,3,0,0,0,0,3,0,0,0
219,2,1,1,3,0,0,0,1,3,0,2,1,1,1,0,3,1,0,0,0,0,0,0,2,0,0,0
220,1,1,0,2,1,1,1,1,2,1,2,0,0,1,0,0,1,0,2,0,0,1,0,1,1,0,2
221,0,1,1,2,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0
222,3,1,2,2,0,0,0,2,3,0,2,2,2,0,0,3,1,0,0,0,0,0,0,3,0,0,0
223,2,1,1,3,0,0,0,2,3,0,1,1,1,1,0,3,1,0,0,0,0,0,0,3,0,0,0
224,2,1,1,1,0,3,3,2,2,1,2,0,0,1,1,2,1,1,2,2,2,0,1,3,0,0,2
225,0,1,1,1,1,0,0,1,2,1,1,2,1,1,0,0,1,1,1,0,1,0,0,2,1,0,1
226,1,1,1,2,1,0,0,2,2,1,1,1,1,1,0,1,1,1,2,0,0,0,0,2,1,0,0
227,1,1,1,3,0,3,3,2,2,1,3,0,0,1,2,2,1,0,0,2,2,0,0,3,0,0,0
228,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,2
229,0,1,1,2,1,0,0,0,0,0,2,1,1,1,0,1,1,1,3,0,0,1,0,1,1,0,0
230,0,1,2,3,1,0,0,2,2,1,3,2,1,0,0,0,1,0,1,0,1,0,0,3,0,0,0
231,1,1,0,2,1,0,0,2,2,1,3,1,1,1,0,0,1,1,2,0,1,0,0,3,1,0,0
232,2,1,1,3,0,0,0,1,2,0,1,2,1,1,0,2,1,0,0,0,1,0,0,3,0,0,0
233,1,1,0,2,1,0,0,1,2,1,2,1,1,1,0,0,1,1,2,0,1,0,0,1,1,0,0
234,1,1,1,2,1,0,0,0,1,1,2,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0
235,0,1,0,1,0,0,0,0,2,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,2
236,0,1,1,3,1,3,3,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,2,0,1,0,0
237,0,1,0,2,0,0,0,1,2,0,1,1,1,1,0,2,1,1,1,0,0,0,0,2,0,0,0
238,2,1,1,2,0,2,1,2,3,0,1,0,0,1,0,3,1,1,0,0,1,1,0,3,0,0,2
239,2,1,0,1,1,3,3,1,2,1,1,0,0,1,1,1,1,1,1,1,2,0,0,2,1,0,2
240,1,1,1,2,1,0,0,2,2,1,2,1,1,1,0,0,1,1,2,0,1,0,0,2,1,0,0
241,0,1,1,1,1,0,0,2,2,1,0,2,2,1,0,2,1,1,1,0,1,1,0,2,1,0,1
242,0,1,1,2,1,3,2,2,2,1,2,0,0,1,1,0,1,1,1,1,1,0,0,2,1,0,2
243,2,0,0,1,0,0,0,0,0,0,2,1,1,1,0,2,1,1,1,0,1,0,0,1,0,0,0
